lda1,lda2,label
-2.804240027,-1.803793198,3
-1.658790989,-0.004304006,0
-1.743222652,-0.733706612,1
-1.608566215,3.867382946,0
-2.911001506,-0.061529605,3
-2.036112667,-2.873444126,3
3.287109804,-0.397292711,2
4.146980914,-1.0010414,2
3.044542381,-0.092706058,2
-1.640893326,-1.934215119,3
0.698497674,-0.481635666,1
2.92469047,-0.199635824,2
1.720018873,0.421214779,2
-1.809662595,-2.420266482,3
-0.980131363,0.192867547,0
-1.441295854,-4.324348362,3
-1.828234773,-3.837891018,3
-0.818913011,1.888106776,1
2.686805077,0.134613111,2
-0.743399746,-0.017644805,1
-1.300339622,1.486637143,1
-1.596857167,2.059264496,1
3.915658509,-0.27645219,2
-0.32148041,-0.916823546,3
-0.47597865,-2.599171234,3
-2.685222243,1.534568292,0
-1.923333,1.990984572,0
-1.296206852,-2.590893449,3
-1.306120365,1.533665791,1
-2.660835802,-2.558015349,3
-1.079896473,0.784424975,1
3.058515989,0.45753912,2
-2.15269601,1.972701252,0
2.72780943,0.642195023,2
2.414136195,0.749512393,2
-1.896261392,1.164482883,1
-1.823295736,1.559902709,0
6.112651546,-0.892722666,2
6.212603663,-0.429467263,2
-2.126982335,-3.053334845,3
-1.697710042,1.413115578,1
-1.641803086,-0.868935347,3
2.325011456,0.165805584,2
5.25277772,1.602985625,2
1.482128661,0.286614026,2
0.286629431,3.828112046,1
-1.705662022,0.714420028,0
-1.378330779,-3.514727486,3
-0.968368818,0.87434189,1
-0.41373452,0.758132203,1
-1.636160684,1.736942606,1
-0.604403182,2.41098548,0
-1.83193147,-3.365411425,3
-1.510777622,-3.255716035,3
-1.447530946,2.040590947,0
-2.049687451,1.118726547,1
2.533776529,-0.768389048,2
-0.331034053,3.232654727,1
-0.633229598,-0.510843459,3
1.494129504,0.076595274,2
-0.505276112,-3.106484997,3
0.938312515,-1.846299978,2
-0.486147464,0.573152068,1
-0.127574147,0.202186902,1
-0.973084747,-1.384340415,3
-3.017681697,2.386219628,0
-0.543030386,0.893802322,0
-1.673138062,1.495398595,1
-0.931091075,1.552668871,0
-0.872141713,-3.643426884,3
-3.204508179,-0.598159282,3
-1.698230427,0.139777577,1
-1.208185362,-3.015470657,3
-1.859756472,1.865183537,0
2.029563249,-0.464753538,2
-2.198840823,-3.078531284,3
1.383546825,-0.084671678,2
-0.591271596,1.759774411,1
-3.309989802,0.010542669,3
-1.673959984,1.880072593,1
-0.168506231,1.499855994,0
-1.936742956,-3.285659984,3
-0.513233546,0.140297044,1
5.510195314,-0.528842979,2
-2.877644746,-3.488987756,3
3.978309656,-2.100968491,2
-1.959506764,1.968610422,0
2.850354448,1.063822852,2
7.056671823,-0.349992867,2
4.842150666,-0.427848294,2
-1.760957185,1.569786557,1
5.151980989,-0.320137119,2
2.647759294,-0.304177205,2
-0.066271824,1.192558457,1
3.493689914,-0.026837825,2
4.513045832,0.389980017,2
0.218956339,1.649199203,0
-1.195014172,1.101735327,0
2.885725568,0.985976791,2
-1.491173778,1.636644644,1
-1.026207686,0.465605107,1
-1.9361489,-4.196873852,3
2.015110941,0.268203695,2
-2.057803219,0.650642391,0
-2.799380116,-1.241014697,3
5.695023524,-0.504407735,2
-2.401257481,-0.060533784,1
3.282108057,0.210583279,2
-2.034642376,-3.945292881,3
-1.64369461,0.771023765,0
-1.531668209,2.625433939,0
-0.960499021,-0.464251187,1
1.546346839,-0.681370634,2
-2.701222952,-2.489624815,3
-2.856985549,-3.345944612,3
-1.373016517,0.975755107,1
-1.337440698,1.760579174,0
-2.215416051,-2.980683575,3
-1.977556088,-2.928018852,3
-1.483164055,-3.599809661,3
-2.106542042,0.846823607,0
-1.190326912,1.463862597,1
-1.39320916,1.450838926,1
4.178331104,0.494420509,2
-1.322510571,1.124862831,1
-1.698835237,2.070355029,1
-0.811883534,-1.620402022,3
-0.59934933,1.763925845,1
-1.012778767,-3.749051864,3
-2.53674838,-3.148317137,3
1.638405139,1.058781918,2
5.830420675,-0.626062063,2
-2.646881264,-1.061270034,3
3.876430918,-0.973993818,2
-0.954064366,-2.561343971,3
-2.20407412,-3.530340779,3
0.109659052,2.448829357,0
4.310558352,-0.29290927,2
5.445512811,-0.828157892,2
-1.948589628,-3.205561683,3
-1.178689344,-2.9369384,3
-0.387726524,2.960810489,1
-2.790692108,-2.151685077,3
-2.020651701,-2.737839988,3
-1.256452408,0.711790173,1
1.706542149,0.493959176,2
3.272268628,-0.730596849,2
-0.983639463,0.555628962,0
-0.242519531,-2.827381278,3
-1.076460307,1.817170717,1
4.258463302,-2.431592078,2
-2.187565053,-0.489662159,3
2.514345339,-0.02147052,2
2.380776659,-0.065463267,2
-2.361171566,-0.257486611,1
-2.028220255,-1.050561485,1
-2.097514306,-1.043991069,3
-0.151453626,-3.226308047,3
3.833996244,-0.159286875,2
-1.428194802,1.660788903,1
-1.503002833,2.532837661,1
-2.413635131,1.420735154,1
-1.237491946,-1.855042166,3
-1.060110567,2.330884659,1
-2.117653399,1.713137211,0
-2.118701489,1.766369831,0
-0.019190573,1.837868784,0
-1.341140051,1.649113094,0
-2.087470019,-2.450210974,3
-2.168442002,1.620536505,1
-1.428844591,0.495976507,0
-1.539502546,2.135005255,0
-1.597339799,-3.005437468,3
-0.973466537,1.333643731,0
-1.676835983,1.591250828,0
-1.230506387,1.661774614,0
-2.444006261,-4.060894923,3
